key,cz
Cultiway.ArtifactAtom.spirit_ding.Description,强化容量、炼制、蓄灵和共鸣，倾向显化灵力储炼能力。
Cultiway.ArtifactAtom.vitality_ding.Name,百草鼎
Cultiway.ArtifactAtom.vitality_ding.Description,强化炼制、续生和净化，倾向丹药与恢复辅助。
Cultiway.ArtifactAtom.command_banner.Name,号令旗
Cultiway.ArtifactAtom.command_banner.Description,强化法域、投射、增幅、音律和持续，倾向显化群体统御能力。
Cultiway.ArtifactAtom.soul_banner.Name,招魂幡
Cultiway.ArtifactAtom.soul_banner.Description,强化魂魄、储存、吞噬、封印和法域，倾向魂体操控。
Cultiway.ArtifactAtom.resonance_bell.Name,震魂钟
Cultiway.ArtifactAtom.resonance_bell.Description,强化音律、共鸣、魂魄、冲击和投射，倾向范围震荡。
Cultiway.ArtifactAtom.purifying_bell.Name,清音钟
Cultiway.ArtifactAtom.purifying_bell.Description,强化音律、净化、守护、法域和持续，倾向群体净化。
Cultiway.ArtifactAtom.spirit_gourd.Name,蕴灵葫芦
Cultiway.ArtifactAtom.spirit_gourd.Description,强化储存、容量、空间、蓄灵和持续，倾向灵力缓冲。
Cultiway.ArtifactAtom.devouring_gourd.Name,吞天葫芦
Cultiway.ArtifactAtom.devouring_gourd.Description,强化吞噬、储存、空间、束缚和投射，倾向吸纳释放。
Cultiway.ArtifactAtom.tempest_fan.Name,罡风扇
Cultiway.ArtifactAtom.tempest_fan.Description,强化投射、机动、冲击、增幅和柔韧，倾向风系横扫。
Cultiway.ArtifactAtom.flame_fan.Name,离火扇
Cultiway.ArtifactAtom.flame_fan.Description,强化火行、投射、增幅、易变和持续，倾向火焰扇击。
Cultiway.ArtifactAtom.prison_tower.Name,镇狱塔
Cultiway.ArtifactAtom.prison_tower.Description,强化镇压、封印、束缚、空间和持续法域。
Cultiway.ArtifactAtom.realm_tower.Name,九重塔
Cultiway.ArtifactAtom.realm_tower.Description,强化投射、法域、守护、容量、空间和持续。
Cultiway.ArtifactAtom.orbit_pearl.Name,周天珠
Cultiway.ArtifactAtom.orbit_pearl.Description,强化机动、共鸣、守护、投射和护主，倾向环绕防御。
Cultiway.ArtifactAtom.element_pearl.Name,五行珠
Cultiway.ArtifactAtom.element_pearl.Description,强化共鸣、增幅、投射、蓄灵和变化，倾向元素联动。
Cultiway.ArtifactAtom.jade.Name,青玉
Cultiway.ArtifactAtom.jade.Description,提供灵性、守护、稳定和净化语义，适合均衡防护型法器。
Cultiway.ArtifactAtom.crystal.Name,灵晶
Cultiway.ArtifactAtom.crystal.Description,提供坚硬、反射、灵性和洞察语义，适合感知与镜面效果。
Cultiway.ArtifactAtom.iron.Name,玄铁
Cultiway.ArtifactAtom.iron.Description,提供坚硬、锋锐、镇压和束缚语义，适合攻击与禁制效果。
Cultiway.ArtifactAtom.spirit_wood.Name,灵木
Cultiway.ArtifactAtom.spirit_wood.Description,强化木行、柔韧、生机和续生语义。
Cultiway.ArtifactAtom.frost_jade.Name,寒玉
Cultiway.ArtifactAtom.frost_jade.Description,强化水行、守护、稳定和净化语义。
Cultiway.ArtifactAtom.star_silver.Name,星银
Cultiway.ArtifactAtom.star_silver.Description,强化金性、锋锐、反射、感知和洞察语义。
Cultiway.ArtifactAtom.earth_core.Name,地心髓
Cultiway.ArtifactAtom.earth_core.Description,强化土行、坚硬、镇压、法域和稳定语义。
Cultiway.ArtifactAtom.soul_crystal.Name,魂晶
Cultiway.ArtifactAtom.soul_crystal.Description,强化灵性、感知、共鸣、洞察和蓄灵语义。
Cultiway.ArtifactAtom.blood_gold.Name,血金
Cultiway.ArtifactAtom.blood_gold.Description,强化生机、锋锐、增幅和易变语义。
Cultiway.ArtifactAtom.void_stone.Name,虚空石
Cultiway.ArtifactAtom.void_stone.Description,强化熵、隐匿、吞噬、镇压和法域语义。
Cultiway.ArtifactAtom.celestial_silk.Name,天蚕丝
Cultiway.ArtifactAtom.celestial_silk.Description,强化柔韧、守护、机动、隐匿和护主语义。
Cultiway.ArtifactAtom.thunder_stone.Name,雷石
Cultiway.ArtifactAtom.thunder_stone.Description,强化阳性、机动、易变、增幅和御剑穿刺语义。
Cultiway.ArtifactAtom.moon_water.Name,月华水
Cultiway.ArtifactAtom.moon_water.Description,强化水行、反射、感知、洞察和净化语义。
Cultiway.ArtifactAtom.resonant_bronze.Name,共鸣铜
Cultiway.ArtifactAtom.resonant_bronze.Description,强化音律、共鸣、冲击、坚硬和稳定语义。
Cultiway.ArtifactAtom.spatial_crystal.Name,空间晶体
Cultiway.ArtifactAtom.spatial_crystal.Description,强化空间、储存、投射、容量和稳定语义。
Cultiway.ArtifactAtom.soul_jade.Name,魂玉
Cultiway.ArtifactAtom.soul_jade.Description,强化魂魄、灵性、封印、感知和蓄灵语义。
Cultiway.ArtifactAtom.void_silk.Name,虚空丝
Cultiway.ArtifactAtom.void_silk.Description,强化柔韧、法域、隐匿、魂魄和投射语义。
Cultiway.ArtifactAtom.magnetic_iron.Name,磁元铁
Cultiway.ArtifactAtom.magnetic_iron.Description,强化束缚、冲击、投射、坚硬和镇压语义。
Cultiway.ArtifactAtom.world_wood.Name,世界木
Cultiway.ArtifactAtom.world_wood.Description,强化持续、储存、生机、容量和续生语义。
Cultiway.ArtifactAtom.sunfire_glass.Name,日火琉璃
Cultiway.ArtifactAtom.sunfire_glass.Description,强化火行、投射、增幅、易变和变化语义。
Cultiway.ArtifactAtom.starlight_marrow.Name,星髓
Cultiway.ArtifactAtom.starlight_marrow.Description,强化共鸣、魂魄、空间、蓄灵和投射语义。
Cultiway.ArtifactAtom.void_sail_core.Name,虚舟核心
Cultiway.ArtifactAtom.void_sail_core.Description,提供载具、空间、容量和稳定语义，支撑御器载运。
Cultiway.ArtifactAtom.fortune_vein_core.Name,气运地脉核
Cultiway.ArtifactAtom.fortune_vein_core.Description,提供宗门守护、稳定、坚硬和护持语义。
Cultiway.ArtifactAtom.soul_core.Name,魂核
Cultiway.ArtifactAtom.soul_core.Description,提供器灵、魂魄、持续和容量语义，支撑器灵成长与显化。
Cultiway.ArtifactAtom.ember.Name,赤火纹
Cultiway.ArtifactAtom.ember.Description,提供火行、易变、炼制和增幅语义，适合爆发与火炼效果。
Cultiway.ArtifactAtom.dark_gold.Name,玄金纹
Cultiway.ArtifactAtom.dark_gold.Description,提供坚硬、灵性、稳定和共鸣语义，适合稳固的高阶法器。
Cultiway.ArtifactAtom.cloud_pattern.Name,流云纹
Cultiway.ArtifactAtom.cloud_pattern.Description,强化机动、柔韧和隐匿语义，倾向轻灵移动效果。
Cultiway.ArtifactAtom.thunder_pattern.Name,雷霆纹
Cultiway.ArtifactAtom.thunder_pattern.Description,强化阳性、机动、易变和增幅语义，倾向高速爆发效果。
Cultiway.ArtifactAtom.mountain_pattern.Name,山岳纹
Cultiway.ArtifactAtom.mountain_pattern.Description,强化土行、坚硬、镇压、法域和稳定语义。
Cultiway.ArtifactAtom.water_moon_pattern.Name,水月纹
Cultiway.ArtifactAtom.water_moon_pattern.Description,强化反射、感知、洞察和净化语义。
Cultiway.ArtifactAtom.life_pattern.Name,生机纹
Cultiway.ArtifactAtom.life_pattern.Description,强化生机、续生和净化语义，倾向恢复效果。
Cultiway.ArtifactAtom.spirit_gathering_pattern.Name,聚灵纹
Cultiway.ArtifactAtom.spirit_gathering_pattern.Description,强化灵性、容量、共鸣和蓄灵语义。
Cultiway.ArtifactAtom.sealing_runes.Name,封禁符纹
Cultiway.ArtifactAtom.sealing_runes.Description,强化束缚、镇压、守护和法域投射语义。
Cultiway.ArtifactAtom.pure_yang.Name,纯阳纹
Cultiway.ArtifactAtom.pure_yang.Description,强化阳性、火行、守护、净化和增幅语义。
Cultiway.ArtifactAtom.profound_yin.Name,玄阴纹
Cultiway.ArtifactAtom.profound_yin.Description,强化阴性、水行、感知、隐匿和洞察语义。
Cultiway.ArtifactAtom.void_mark.Name,虚空纹
Cultiway.ArtifactAtom.void_mark.Description,强化熵、机动、隐匿、吞噬和法域语义。
Cultiway.ArtifactAtom.command_runes.Name,号令符纹
Cultiway.ArtifactAtom.command_runes.Description,强化增幅、音律、法域投射和持续语义，倾向群体指挥效果。
Cultiway.ArtifactAtom.soul_binding_script.Name,缚魂符纹
Cultiway.ArtifactAtom.soul_binding_script.Description,强化魂魄、封印、束缚和储存语义。
Cultiway.ArtifactAtom.spatial_fold.Name,叠空纹
Cultiway.ArtifactAtom.spatial_fold.Description,强化空间、储存、投射和隐匿语义。
Cultiway.ArtifactAtom.resonance_rings.Name,共鸣环纹
Cultiway.ArtifactAtom.resonance_rings.Description,强化音律、共鸣、增幅和投射语义。
Cultiway.ArtifactAtom.devouring_vortex.Name,吞噬涡纹
Cultiway.ArtifactAtom.devouring_vortex.Description,强化吞噬、储存、空间和束缚语义。
Cultiway.ArtifactAtom.guardian_halo.Name,护持光轮
Cultiway.ArtifactAtom.guardian_halo.Description,强化守护、投射、护主和持续语义。
Cultiway.ArtifactAtom.layered_realm_mark.Name,层界法纹
Cultiway.ArtifactAtom.layered_realm_mark.Description,强化法域投射、封印、空间和镇压语义。
Cultiway.ArtifactAtom.transformation_pattern.Name,化形纹
Cultiway.ArtifactAtom.transformation_pattern.Description,强化变化、投射、机动和易变语义。
Cultiway.ArtifactAtom.cloud_riding_script.Name,御空符纹
Cultiway.ArtifactAtom.cloud_riding_script.Description,提供载具、机动、投射和持续语义，倾向御器载运能力。
Cultiway.ArtifactAtom.ancestral_guardian_vow.Name,镇宗誓纹
Cultiway.ArtifactAtom.ancestral_guardian_vow.Description,提供宗门守护、护持、法域和持续语义。
Cultiway.ArtifactAtom.spirit_awakening_script.Name,点灵符纹
Cultiway.ArtifactAtom.spirit_awakening_script.Description,提供器灵、魂魄、灵性和感知语义，倾向唤醒持久器灵。
