key,cz
Cultiway.Ossaurus Description,幽冥烈焰，骸骨掠空而行。
Cultiway.SkeletonKnight,骷髅骑士
Cultiway.SkeletonKnight Description,白骨战马，踏破生者疆界。
Cultiway.Sphinx,狮身人面像
Cultiway.Sphinx Description,谜语藏锋，守永恒之谜。
Cultiway.FairyDruid,妖精德鲁伊
Cultiway.FairyDruid Description,自然低语，萌发治愈之光。
Cultiway.FairyRanger,妖精护卫
Cultiway.FairyRanger Description,蝶翼轻振，刺刃隐于花丛。
Cultiway.FairyWarrior,妖精战士
Cultiway.FairyWarrior Description,小巧身躯，迸发勇气之芒。
Cultiway.Diplodocus,梁龙
Cultiway.Diplodocus Description,长颈如山，甩尾裂地惊天。
Cultiway.Dreadnoughtus,无畏巨龙
Cultiway.Dreadnoughtus Description,龙啸震谷，远古大地霸主。
Cultiway.Triceratops,三角龙
Cultiway.Triceratops Description,巨角冲锋，撕裂一切屏障。
Cultiway.TyrannosaurusRex,暴龙
Cultiway.TyrannosaurusRex Description,血口吞天，原始恐惧化身。
Cultiway.Pterodactyl,翼龙
Cultiway.Pterodactyl Description,阴影掠地，利爪如疾风骤雨。
Cultiway.Velociraptor,迅猛龙
Cultiway.Velociraptor Description,群猎协作，死亡迅如闪电。
Cultiway.GhostFire,鬼火精灵
Cultiway.GhostFire Description,幽光闪烁，引渡迷失之魂。
Cultiway.CandleGenie,烛火精灵
Cultiway.CandleGenie Description,微光摇曳，照亮黑暗谜题。
Cultiway.KnowledgeGenie,知识精灵
Cultiway.KnowledgeGenie Description,书页振翅，铭刻万物智慧。
Cultiway.GoblinKnight,哥布林骑士
Cultiway.GoblinKnight Description,破甲长矛，骑术野蛮癫狂。
Cultiway.GoblinShaman,哥布林萨满
Cultiway.GoblinShaman Description,诅咒图腾，唤来灾祸之雨。
Cultiway.GoblinWarrior,哥布林战士
Cultiway.GoblinWarrior Description,利斧乱挥，掠夺即是真理。
Cultiway.IceGiant,冰石泰坦
Cultiway.IceGiant Description,寒冰吐息，冻结时间洪流。
Cultiway.LavaGiant,熔岩泰坦
Cultiway.LavaGiant Description,炽热核心，大地血脉奔涌。
Cultiway.RockGiant,岩石泰坦
Cultiway.RockGiant Description,拳峰崩山，巍然撼动苍穹。
Cultiway.VolcanicGiant,火山泰坦
Cultiway.VolcanicGiant Description,怒火喷发，重塑世界轮廓。
Cultiway.FairyFox,九尾仙狐
Cultiway.FairyFox Description,灵尾扫月，幻梦蛊惑众生。
Cultiway.FengHuang,凤凰
Cultiway.FengHuang Description,焚身涅槃，永恒轮回之焰。
Cultiway.JinWu,金乌
Cultiway.JinWu Description,火羽耀空，烈日亦为臣民。
Cultiway.QingLong,青龙
Cultiway.QingLong Description,腾云布雨，天意即我号令。
Cultiway.QiLin,麒麟
Cultiway.QiLin Description,祥瑞踏云，仁心驭使雷霆。
Cultiway.NineColoredDeer,九色神鹿
Cultiway.NineColoredDeer Description,蹄生莲华，步落万物复苏。
Cultiway.WhiteTiger,白虎
Cultiway.WhiteTiger Description,肃杀银躯，西方杀伐之神。
Cultiway.XuanWu,玄武
Cultiway.XuanWu Description,玄甲载世，背负天命轮回。
Cultiway.YuChan,玉蟾
Cultiway.YuChan Description,月宫灵影，吐纳太阴精华。
Cultiway.YueTu,月兔
Cultiway.YueTu Description,捣药玉杵，济世慈悲之心。
Cultiway.ZhuQue,朱雀
Cultiway.Suzaku Description,燎原火羽，焚尽世间不洁。
Cultiway.GriffinKnight,狮鹫骑士
Cultiway.GriffinKnight Description,鹰眸狮爪，制霸苍穹之域。
Cultiway.Sorcerer,紫袍巫师
Cultiway.Sorcerer Description,咒文捻指，法则由我改写。
Cultiway.GuardKnight,守护骑士
Cultiway.GuardKnight Description,圣盾不移，信仰即为铠甲。
Cultiway.FireWyvern,烈焰飞龙
Cultiway.FireWyvern Description,烈焰龙息，焚灭一切骄傲。
Cultiway.VampireHunter,猎魔人
Cultiway.VampireHunter Description,银剑如弧，斩尽世间邪祟。
Cultiway.HalfDeerMan,半人鹿
Cultiway.HalfDeerMan Description,林间跃影，蹄声如奏自然之律。
Cultiway.Mermaid,美人鱼
Cultiway.Mermaid Description,歌声摄魂，诱舟坠入深海梦境。
Cultiway.Centaur,半人马
Cultiway.Centaur Description,箭驰如风，草原自由之子。
Cultiway.KingSlime,史莱姆王
Cultiway.KingSlime Description,胶体吞噬，包容万物形态。
Cultiway.GiantOctopus,巨型章鱼
Cultiway.GiantOctopus Description,深海的腕，拖拽巨舰入渊。
Cultiway.Werewolf,狼人
Cultiway.Werewolf Description,月下獠牙，兽性撕裂理性。
Cultiway.Deer,鹿
Cultiway.Deer Description,林间轻跃，灵角映晨光。
Cultiway.Horse,马
Cultiway.Horse Description,草原奔腾，自由即吾鞍。
Cultiway.Panda,熊猫
Cultiway.Panda Description,竹影轻摇，憨力可碎山。
Cultiway.Pig,猪
Cultiway.Pig Description,泥坑打滚，平凡藏丰饶。
Cultiway.WildBoar,野猪
Cultiway.WildBoar Description,獠牙破土，莽荒写狂野。
Cultiway.Rooster,公鸡
Cultiway.Rooster Description,破晓啼鸣，日光为刃！
Cultiway.Lion,狮子
Cultiway.Lion Description,草原称王，吼声震百兽。
Cultiway.Tiger,老虎
Cultiway.Tiger Description,斑纹潜行，静寂中伏杀。
Cultiway.QiTianDaSheng,齐天大圣
Cultiway.QiTianDaSheng Description,金箍扫乾坤，桀骜战诸天！
Cultiway.TianMingRen,天命人
Cultiway.TianMingRen Description,命星所指，改写因果之轨。
Cultiway.UncleanCreature,不洁生物
Cultiway.UncleanCreature Description,"纳垢的赠礼，在腐烂中欢歌。"
Cultiway.NurgleSpirit,纳垢灵
Cultiway.NurgleSpirit Description,嬉笑的脓疱，死亡的传染源。
Cultiway.NurgleDiseaseCarrier,纳垢携疫者
Cultiway.NurgleDiseaseCarrier Description,行走的瘟疫，活体的温床。
Cultiway.PlagueBringer,瘟疫使者
Cultiway.PlagueBringer Description,播撒慈父的芬芳，收获溃烂的果实。
Cultiway.PlagueToad,瘟疫蟾蜍
Cultiway.PlagueToad Description,鼓噪的毒囊，喷吐慈父的馈赠。
Cultiway.GreatUncleanOneButcher,大不净者屠夫
Cultiway.GreatUncleanOneButcher Description,慈父的慈爱化身，以无尽的屠杀拥抱世界。
Cultiway.GreatUncleanOneBellRinger,大不净者丧钟
Cultiway.GreatUncleanOneBellRinger Description,钟声回荡之处，万物皆归于腐。
Cultiway.GreatUncleanOneRainFather,大不净者雨父
Cultiway.GreatUncleanOneRainFather Description,降下慈父甘霖，催生腐烂国度。
Cultiway.Daemonette,色孽欲魔
Cultiway.Daemonette Description,舞动至死，在欢愉的刀锋中沉沦。
Cultiway.Hellflayer,色孽磨魂者 
Cultiway.Hellflayer Description,哀嚎即是乐章，痛苦便是贡品。
Cultiway.SlaaneshSeeker,色孽寻觅者
Cultiway.SlaaneshSeeker Description,永不停歇的追逐，只为那刹那的极乐。
Cultiway.SlaaneshMistress,色孽女术士
Cultiway.SlaaneshMistress Description,编织致命的幻象，直至现实崩坏。
Cultiway.SlaaneshFiend,色孽兽
Cultiway.SlaaneshFiend Description,扭曲的渴望，以爪牙撕开理智。
Cultiway.KeeperSecrets,守密者
Cultiway.KeeperSecrets Description,欲望的化身，优雅即是杀戮。
Cultiway.KeeperSecretsNakari,守密者纳卡里
Cultiway.KeeperSecretsNakari Description,古老的堕落者，厄运的具象之形。
Cultiway.ExaltedKeeperSecrets,神尊守密者 
Cultiway.ExaltedKeeperSecrets Description,神选之欲，凡世欢愉的终结。
Cultiway.Eagle,老鹰
Cultiway.Eagle Description,爷就是雕！
Cultiway.Mallard,绿头鸭
Cultiway.Mallard Description,嘎嘎~
Cultiway. CravingManifestation, 渴求具象体
Cultiway. CravingManifestation Description,欲望为饵，触之即噬。
Cultiway.CrimsonScion,猩红衍生物
Cultiway.CrimsonScion Description,核心的感官，生命的收割者。
Cultiway.CrimsonArbiter,猩红判罚者
Cultiway.CrimsonArbiter Description,裁决即同化，万物归于一。
Cultiway.Cherub,智天使
Cultiway.Cherub Description,神圣的代码，即是我的律法。
Cultiway.ServoSkull,伺服颅骨
Cultiway.ServoSkull Description,无声的注视，维系着帝国的齿轮。
Cultiway.TechPriests,机械教徒
Cultiway.TechPriests Description,血肉苦弱，机械永恒。
Cultiway.Emperor,泰拉帝皇化身
Cultiway.Emperor Description,永恒的君王，冰冷的太阳
